arrayId,makeCostApMatCoFa,title,currentName,currentLevel,levelNames,currentPrice,normalPricesByLevel,lowPriceFactor,highPriceFactor,sellXPByLevel,UpgradeSellFactor,donateFactionByLevel,donateFactionType,typeOfRace,currentCount,maxCount,description,craftPointsByLevel,currentCraftPoints,totalSoldByLevel,totalDonatedByLevel,discontinuedText,imagePath,currentMats,currentResearch
1,"1,1,0,0",Torch,undefined,1,"""A Stick Torch"",""Dim Torch"",""Bright Torch"",""Everlit Torch"",""Torch of Enlightenment""",10,"10,1009.5,3008.5,7006.5,20000",0.7,1.5,"1,3,7,16,45",0.25,"0,0,0,0,0",0,0,0,3,"""A torch, sure, but also a beginning.  May your adventures burn brightly, unlike this torch, which is problably less than excellently crafted.""","1,1,1,1,1",0,0,0,,Resources/Images/torch.png,0,0
2,"1,1,0,0",Shield,undefined,1,"""Copper Shield"",""Iron Shield"",""Steel Shield"",""Brook Shield"",""Infinity + 1 Shield""",200,"200,2690,7670,17630,50000",0.7,1.5,"1,7,18,40,113",0.25,"0,0,0,0,0",0,1,0,3,"""Can not be used as a lean to.""","1,1,1,1,1",0,0,0,,Resources/Images/shield.png,0,0
3,"1,1,0,0",Hammer,undefined,1,"""Copper Hammer"",""Iron Hammer"",""Steel Hammer"",""Banana Hammer"",""Thor'n Hammer""",500,"500,5475,15425,35325,100000",0.7,1.5,"2,13,35,80,225",0.25,"0,0,0,0,0",0,2,0,3,"""Captain Hammer, corporate tool.""","1,1,1,1,1",0,0,0,,Resources/Images/hammer.png,0,0
4,"1,1,0,0",Arrows,undefined,1,"""Wooden Arrows"",""Long Arrows"",""Even Better Arrows"",""Fire Arrows"",""Whisper Arrows""",1200,"1200,60000,300000,1200000,21600000",0.7,1.5,"3,135,674,2693,48466",0.8,"0,0,0,0,0",0,3,0,3,"""Arrows for Elves; what could be finer?""","1,1,1,1,1",0,0,0,,Resources/Images/arrows.png,0,0
5,"1,1,0,0",Spellbook,undefined,1,"""First Order Spells"",""Second Order Spells"",""Spell book of Light"",""Shadow Spell book"",""Tome of Epiphany""",3600,"3600,180000,900000,3600000,64800000",0.7,1.5,"9,404,2020,8078,145396",2.5,"0,0,0,0,0",0,4,0,3,"""A wizard with no spellbook is useless.""","1,1,1,1,1",0,0,0,,Resources/Images/spellbook.png,0,0
6,"1,1,0,0",Shirt,undefined,1,"""Cloth Shirt"",""Hand Stitched Shirt"",""Silk Shirt"",""Quilted Shirt"",""Royal Shirt""",1000,"1000,3450,8350,18150,50000",0.7,1.5,"3,8,19,41,113",0.25,"1,2,3,4,5",1,0,0,3,"""The threads are spaced further apart than ogres front teeth, but this shirt does the job.""","1,1,1,1,1",0,0,0,,Resources/Images/shirt.png,0,0
7,"1,1,0.25,0",Tunic,undefined,1,"""Cloth Tunic"",""Padded Tunic"",""Hardened Tunic"",""Protective Tunic"",""Battle Tunic""",10000,"10000,15750,27250,50250,125000",0.7,1.5,"23,36,62,113,281",0.25,"1,2,3,4,5",1,1,0,3,"""A sturdy garment for any application.""","1,1,1,1,1",0,0,0,,Resources/Images/tunic.png,0,0
8,"1,1,0.25,0",Platemail,undefined,1,"""Copper Platemail"",""Iron Platemail"", ""Steel Platemail"", ""Fire Beetle Mail"", ""Dragon Scale Platemail""",25000,"25000,36250,58750,103750,250000",0.7,1.5,"57,82,132,233,561",0.25,"1,2,3,4,5",2,2,0,3,"""The glistening armor radiates the quality of dwarven craftsmanship, yet done by your hand.""","1,1,1,1,1",0,0,0,,Resources/Images/platemail.png,0,0
9,"1,1,0.25,0",Cloak,undefined,1,"""Wool Cloak"",""Shelter Cloak"",""Agility Cloak"",""Smoke Cloak"",""Cloak of Lethleriel""",72000,"72000,360000,1440000,25920000,38880000",0.7,1.5,"162,808,3232,58159,87238",0.8,"1,2,3,4,5",3,3,0,3,"""Elvish cloaks, imbued with power, made from the finest of ingredients.""","1,1,1,1,1",0,0,0,,Resources/Images/cloak.png,0,0
10,"1,1,0.25,0",Robe,undefined,1,"""Initiate's Robe"",""Channeling Robe"",""St-Robe of Light"",""Robe of Bathe"",""Enlightenment Robe""",216000,"216000,1080000,4320000,77760000,116640000",0.7,1.5,"485,2424,9694,174476,261713",0.85,"1,2,3,4,5",4,4,0,3,"""A wizard's robe is more than a mere garment; it empowers the wizard to carry out his will.""","1,1,1,1,1",0,0,0,,Resources/Images/robe.png,0,0
11,"1,1,0.25,0",Dagger,undefined,1,"""Copper Dagger"",""Iron Dagger"", ""Steel Dagger"", ""Curved Slicer"", ""Shadar Ruby Dagger""",50000,"50000,97500,192500,382500,1000000",0.7,1.5,"113,219,432,859,2244",0.25,"1,2,3,4,5",1,0,0,3,"""This dagger is sturdy and useful for self-defense and as a general knife.""","1,1,1,1,1",0,0,0,,Resources/Images/dagger.png,0,0
